ProjectName,Variant,TotalRuns,Completed,BuildFailed,TestFailed,FlakyFailure,AvgCoverageLinePercent,AvgMutationScore,AvgTokensUsed
duplicati,A,10,0,0,10,0,,,0
duplicati,B,10,0,10,0,0,,,1952
duplicati,C,10,0,10,0,0,,,5988
Kavita,A,10,0,0,0,0,,,0
Kavita,B,11,5,5,1,0,0,0,2410
Kavita,C,10,6,4,0,0,19.7,0,5925
MediatR,A,10,0,0,0,0,,,0
MediatR,B,11,2,9,0,0,0,0,1375
MediatR,C,8,0,8,0,0,,,4622
Polly,A,10,0,0,10,0,,,0
Polly,B,11,0,10,1,0,,,2072
Polly,C,10,0,10,0,0,,,6724
UniTask,A,10,0,0,0,0,,,0
UniTask,B,11,0,0,0,0,,,0
