project_name,repo_url,commit_hash,namespace,type_name,method_name,identifier,file_path,line_start,line_end,return_type,parameter_types,is_static,is_async
duplicati,https://github.com/duplicati/duplicati,05d9457f364fcdeb9165dd1dff755bef8f8d629b,Duplicati.Library,JsonWebHelperHttpClient,ReadJsonResponseAsync,"Duplicati.Library.JsonWebHelperHttpClient.ReadJsonResponseAsync<T>(HttpRequestMessage,CancellationToken)",Duplicati/Library/Backend/OAuthHelper/JSONWebHelperHttpClient.cs,172,176,Task<T>,"HttpRequestMessage,CancellationToken",False,True
duplicati,https://github.com/duplicati/duplicati,05d9457f364fcdeb9165dd1dff755bef8f8d629b,Duplicati.Library.Encryption,AESStringEncryption,DecryptFromHex,"Duplicati.Library.Encryption.AESStringEncryption.DecryptFromHex(string,string)",Duplicati/Library/Encryption/AESStringEncryption.cs,41,44,string,"string,string",True,False
duplicati,https://github.com/duplicati/duplicati,05d9457f364fcdeb9165dd1dff755bef8f8d629b,Duplicati.Library.Utility,Utility,GetStreamLength,"Duplicati.Library.Utility.Utility.GetStreamLength(Stream,bool,bool)",Duplicati/Library/Utility/Utility.cs,176,193,long?,"Stream,bool,bool",True,False
duplicati,https://github.com/duplicati/duplicati,05d9457f364fcdeb9165dd1dff755bef8f8d629b,Duplicati.Library.Main.Database,ExtensionMethods,ConvertValueToInt64,"Duplicati.Library.Main.Database.ExtensionMethods.ConvertValueToInt64(IDataReader,int,long)",Duplicati/Library/Main/Database/ExtensionMethods.cs,1061,1073,long,"IDataReader,int,long",True,False
duplicati,https://github.com/duplicati/duplicati,05d9457f364fcdeb9165dd1dff755bef8f8d629b,Duplicati.Library.Main,Controller,List,Duplicati.Library.Main.Controller.List(),Duplicati/Library/Main/Controller.cs,225,228,IListResults,,False,False
duplicati,https://github.com/duplicati/duplicati,05d9457f364fcdeb9165dd1dff755bef8f8d629b,Duplicati.Library.Backend.WebApi,GoogleCloudStorage,DeleteUrl,"Duplicati.Library.Backend.WebApi.GoogleCloudStorage.DeleteUrl(string,string)",Duplicati/Library/Backend/GoogleServices/WebApi.cs,60,65,string,"string,string",True,False
duplicati,https://github.com/duplicati/duplicati,05d9457f364fcdeb9165dd1dff755bef8f8d629b,Duplicati.Library.Utility,ReadLimitLengthStream,WriteAsync,"Duplicati.Library.Utility.ReadLimitLengthStream.WriteAsync(byte[],int,int,CancellationToken)",Duplicati/Library/Utility/ReadLimitLengthStream.cs,208,211,Task,"byte[],int,int,CancellationToken",False,False
duplicati,https://github.com/duplicati/duplicati,05d9457f364fcdeb9165dd1dff755bef8f8d629b,Duplicati.Library.Compression.ZipCompression,SharpCompressZipArchive,ListFilesWithSize,Duplicati.Library.Compression.ZipCompression.SharpCompressZipArchive.ListFilesWithSize(string),Duplicati/Library/Compression/ZipCompression/SharpCompressZipArchive.cs,197,215,"IEnumerable<KeyValuePair<string, long>>",string,False,False
duplicati,https://github.com/duplicati/duplicati,05d9457f364fcdeb9165dd1dff755bef8f8d629b,ReleaseBuilder,EncryptionHelper,DecryptPasswordFile,"ReleaseBuilder.EncryptionHelper.DecryptPasswordFile(string,string)",ReleaseBuilder/EncryptionHelper.cs,33,40,string,"string,string",True,False
duplicati,https://github.com/duplicati/duplicati,05d9457f364fcdeb9165dd1dff755bef8f8d629b,Duplicati.Library.Backend,Jottacloud,GetDNSNamesAsync,Duplicati.Library.Backend.Jottacloud.GetDNSNamesAsync(CancellationToken),Duplicati/Library/Backend/Jottacloud/Jottacloud.cs,428,431,Task<string[]>,CancellationToken,False,False
MediatR,https://github.com/LuckyPennySoftware/MediatR,be61f5a415965bf81893a05b25e0c4936079f35c,MediatR.Examples,WrappingWriter,WriteLineAsync,MediatR.Examples.WrappingWriter.WriteLineAsync(string),samples/MediatR.Examples/Runner.cs,334,338,Task,string,False,False
MediatR,https://github.com/LuckyPennySoftware/MediatR,be61f5a415965bf81893a05b25e0c4936079f35c,MediatR.Wrappers,RequestHandlerWrapperImpl<TRequest>,Handle,"MediatR.Wrappers.RequestHandlerWrapperImpl<TRequest>.Handle(object,IServiceProvider,CancellationToken)",src/MediatR/Wrappers/RequestHandlerWrapper.cs,51,53,Task<object?>,"object,IServiceProvider,CancellationToken",False,True
MediatR,https://github.com/LuckyPennySoftware/MediatR,be61f5a415965bf81893a05b25e0c4936079f35c,MediatR,Mediator,Publish,"MediatR.Mediator.Publish(object,CancellationToken)",src/MediatR/Mediator.cs,132,138,Task,"object,CancellationToken",False,False
MediatR,https://github.com/LuckyPennySoftware/MediatR,be61f5a415965bf81893a05b25e0c4936079f35c,MediatR.Examples,PingedAlsoHandler,Handle,"MediatR.Examples.PingedAlsoHandler.Handle(Pinged,CancellationToken)",samples/MediatR.Examples/PingedHandler.cs,63,66,Task,"Pinged,CancellationToken",False,False
MediatR,https://github.com/LuckyPennySoftware/MediatR,be61f5a415965bf81893a05b25e0c4936079f35c,Microsoft.Extensions.DependencyInjection,MediatRServiceCollectionExtensions,AddMediatR,"Microsoft.Extensions.DependencyInjection.MediatRServiceCollectionExtensions.AddMediatR(IServiceCollection,MediatRServiceConfiguration)",src/MediatR/MicrosoftExtensionsDI/MediatRServiceCollectionExtensions.cs,44,59,IServiceCollection,"IServiceCollection,MediatRServiceConfiguration",True,False
MediatR,https://github.com/LuckyPennySoftware/MediatR,be61f5a415965bf81893a05b25e0c4936079f35c,MediatR.Examples.Windsor,ContravariantFilter,HasOpinionAbout,MediatR.Examples.Windsor.ContravariantFilter.HasOpinionAbout(Type),samples/MediatR.Examples.Windsor/ContravariantFilter.cs,10,19,bool,Type,False,False
MediatR,https://github.com/LuckyPennySoftware/MediatR,be61f5a415965bf81893a05b25e0c4936079f35c,Microsoft.Extensions.DependencyInjection,MediatRServiceConfiguration,AddBehavior,"Microsoft.Extensions.DependencyInjection.MediatRServiceConfiguration.AddBehavior(Type,Type,ServiceLifetime)",src/MediatR/MicrosoftExtensionsDI/MediatrServiceConfiguration.cs,195,200,MediatRServiceConfiguration,"Type,Type,ServiceLifetime",False,False
MediatR,https://github.com/LuckyPennySoftware/MediatR,be61f5a415965bf81893a05b25e0c4936079f35c,Microsoft.Extensions.DependencyInjection,MediatRServiceConfiguration,AddOpenBehaviors,Microsoft.Extensions.DependencyInjection.MediatRServiceConfiguration.AddOpenBehaviors(IEnumerable<OpenBehavior>),src/MediatR/MicrosoftExtensionsDI/MediatrServiceConfiguration.cs,252,260,MediatRServiceConfiguration,IEnumerable<OpenBehavior>,False,False
MediatR,https://github.com/LuckyPennySoftware/MediatR,be61f5a415965bf81893a05b25e0c4936079f35c,Microsoft.Extensions.DependencyInjection,MediatRServiceConfiguration,AddRequestPreProcessor,"Microsoft.Extensions.DependencyInjection.MediatRServiceConfiguration.AddRequestPreProcessor<TServiceType, TImplementationType>(ServiceLifetime)",src/MediatR/MicrosoftExtensionsDI/MediatrServiceConfiguration.cs,354,355,MediatRServiceConfiguration,ServiceLifetime,False,False
MediatR,https://github.com/LuckyPennySoftware/MediatR,be61f5a415965bf81893a05b25e0c4936079f35c,Microsoft.Extensions.DependencyInjection,MediatRServiceConfiguration,AddRequestPostProcessor,"Microsoft.Extensions.DependencyInjection.MediatRServiceConfiguration.AddRequestPostProcessor<TServiceType, TImplementationType>(ServiceLifetime)",src/MediatR/MicrosoftExtensionsDI/MediatrServiceConfiguration.cs,440,441,MediatRServiceConfiguration,ServiceLifetime,False,False
Polly,https://github.com/App-vNext/Polly,3fb78e0c769998aa5ed7c5e4f0584ad1627709f7,Polly,AsyncRetrySyntax,RetryAsync,"Polly.AsyncRetrySyntax.RetryAsync(PolicyBuilder,Action<Exception, int, Context>)",src/Polly/Retry/AsyncRetrySyntax.cs,100,101,AsyncRetryPolicy,"PolicyBuilder,Action<Exception, int, Context>",True,False
Polly,https://github.com/App-vNext/Polly,3fb78e0c769998aa5ed7c5e4f0584ad1627709f7,Polly,Policy,CacheAsync,"Polly.Policy.CacheAsync<TResult>(IAsyncCacheProvider,ITtlStrategy,ICacheKeyStrategy,Action<Context, string, Exception>?)",src/Polly/Caching/AsyncCacheTResultSyntax.cs,99,116,AsyncCachePolicy<TResult>,"IAsyncCacheProvider,ITtlStrategy,ICacheKeyStrategy,Action<Context, string, Exception>?",True,False
Polly,https://github.com/App-vNext/Polly,3fb78e0c769998aa5ed7c5e4f0584ad1627709f7,Polly,AsyncRetryTResultSyntax,WaitAndRetryForeverAsync,"Polly.AsyncRetryTResultSyntax.WaitAndRetryForeverAsync<TResult>(PolicyBuilder<TResult>,Func<int, Context, TimeSpan>,Action<DelegateResult<TResult>, TimeSpan, Context>)",src/Polly/Retry/AsyncRetryTResultSyntax.cs,1047,1059,AsyncRetryPolicy<TResult>,"PolicyBuilder<TResult>,Func<int, Context, TimeSpan>,Action<DelegateResult<TResult>, TimeSpan, Context>",True,False
Polly,https://github.com/App-vNext/Polly,3fb78e0c769998aa5ed7c5e4f0584ad1627709f7,Polly,ResiliencePipeline<T>,ExecuteAsync,"Polly.ResiliencePipeline<T>.ExecuteAsync<TResult, TState>(Func<TState, CancellationToken, ValueTask<TResult>>,TState,CancellationToken)",src/Polly.Core/ResiliencePipelineT.Async.cs,48,53,ValueTask<TResult>,"Func<TState, CancellationToken, ValueTask<TResult>>,TState,CancellationToken",False,False
