Repo Cleanup Log  2026-01-27 21:16:42
CSV: appendix\project_list_filtered.csv
Mode: EXECUTE

DELETED  0x7c13__Notepads
DELETED  2dust__v2rayN
DELETED  abpframework__abp
DELETED  ardalis__CleanArchitecture
DELETED  aspnetboilerplate__aspnetboilerplate
DELETED  AvaloniaUI__Avalonia
DELETED  bchavez__Bogus
DELETED  BeyondDimension__SteamTools
DELETED  bitwarden__server
DELETED  BluePointLilac__ContextMenuManager
DELETED  cefsharp__CefSharp
DELETED  chocolatey__choco
DELETED  coding-horror__basic-computer-games
DELETED  d2phap__ImageGlass
DELETED  DapperLib__Dapper
DELETED  DevToys-app__DevToys
DELETED  dodyg__practical-aspnetcore
DELETED  dotnet__aspnetcore
DELETED  dotnet__AspNetCore.Docs
DELETED  dotnet__BenchmarkDotNet
DELETED  dotnet__csharplang
DELETED  dotnet__efcore
DELETED  dotnet__eShop
DELETED  dotnet__maui
DELETED  dotnet__roslyn
DELETED  dotnet__runtime
DELETED  egametang__ET
DELETED  felixse__FluentTerminal
DELETED  File-New-Project__EarTrumpet
DELETED  files-community__Files
DELETED  HangfireIO__Hangfire
DELETED  huiyadanli__RevokeMsgPatcher
DELETED  icsharpcode__ILSpy
DELETED  Jackett__Jackett
DELETED  JamesNK__Newtonsoft.Json
DELETED  jellyfin__jellyfin
DELETED  JosefNemec__Playnite
DELETED  kgrzybek__modular-monolith-with-ddd
DELETED  Klocman__Bulk-Crap-Uninstaller
DELETED  Kyome22__RunCat365
DELETED  MahApps__MahApps.Metro
DELETED  marticliment__UniGetUI
DELETED  MaterialDesignInXAML__MaterialDesignInXamlToolkit
DELETED  microsoft__PowerToys
DELETED  microsoft__semantic-kernel
DELETED  MonoGame__MonoGame
DELETED  mono__mono
DELETED  mRemoteNG__mRemoteNG
DELETED  MudBlazor__MudBlazor
DELETED  mxgmn__WaveFunctionCollapse
DELETED  netchx__netch
DELETED  nilaoda__BBDown
DELETED  nilaoda__N_m3u8DL-CLI
DELETED  nopSolutions__nopCommerce
DELETED  OdysseusYuan__LKY_OfficeTools
DELETED  peass-ng__PEASS-ng
DELETED  PowerShell__PowerShell
DELETED  ppy__osu
DELETED  QL-Win__QuickLook
DELETED  QuestPDF__QuestPDF
DELETED  Radarr__Radarr
DELETED  rocksdanister__lively
DELETED  seerge__g-helper
DELETED  ShareX__ShareX
DELETED  Sonarr__Sonarr
DELETED  spectreconsole__spectre.console
DELETED  srwi__EverythingToolbar
DELETED  studyzy__imewlconverter
DELETED  SubtitleEdit__subtitleedit
DELETED  TGSAN__CMWTAT_Digital_Edition
DELETED  thangchung__awesome-dotnet-core
DELETED  Tichau__FileConverter
DELETED  Tyrrrz__YoutubeDownloader
DELETED  Unity-Technologies__ml-agents
DELETED  Unity-Technologies__UnityCsReference
DELETED  unoplatform__uno
DELETED  winsw__winsw
DELETED  wmjordan__PDFPatcher
DELETED  wshobson__agents
DELETED  YSGStudyHards__DotNetGuide

Kept:    20
Deleted: 80
Skipped: 0
